activity_no;license_number;activity_name
1;ЛО-78-01-007009;Акушерское дело
1;ЛО-78-01-007010;Акушерское дело
1;ЛО-78-01-007025;Акушерское дело
1;ЛО-78-01-007029;Акушерское дело
1;ЛО-78-01-007039;Акушерское дело
1;ЛО-78-01-007046;Акушерское дело
1;ЛО-78-01-007049;Акушерское дело
1;ЛО-78-01-007065;Акушерское дело
1;ЛО-78-01-007068;Акушерское дело
1;ЛО-78-01-007074;Акушерское дело
1;ЛО-78-01-007093;Акушерское дело
1;ЛО-78-01-007097;Акушерское дело
1;ЛО-78-01-007098;Акушерское дело
1;ЛО-78-01-007107;Акушерское дело
1;ЛО-78-01-007134;Акушерское дело
1;ЛО-78-01-007136;Акушерское дело
1;ЛО-78-01-007150;Акушерское дело
1;ЛО-78-01-007153;Акушерское дело
1;ЛО-78-01-007160;Акушерское дело
1;ЛО-78-01-007167;Акушерское дело
1;ЛО-78-01-007192;Акушерское дело
1;ЛО-78-01-007214;Акушерское дело
1;ЛО-78-01-007216;Акушерское дело
1;ЛО-78-01-007218;Акушерское дело
1;ЛО-78-01-007222;Акушерское дело
1;ЛО-78-01-007225;Акушерское дело
1;ЛО-78-01-007232;Акушерское дело
1;ЛО-78-01-007242;Акушерское дело
1;ЛО-78-01-007249;Акушерское дело
1;ЛО-78-01-007250;Акушерское дело
1;ЛО-78-01-007288;Акушерское дело
1;ЛО-78-01-007301;Акушерское дело
1;ЛО-78-01-007303;Акушерское дело
1;ЛО-78-01-007306;Акушерское дело
1;ЛО-78-01-007329;Акушерское дело
1;ЛО-78-01-007338;Акушерское дело
1;ЛО-78-01-007349;Акушерское дело
1;ЛО-78-01-007354;Акушерское дело
1;ЛО-78-01-007371;Акушерское дело
1;ЛО-78-01-007378;Акушерское дело
1;ЛО-78-01-007382;Акушерское дело
1;ЛО-78-01-06911;Акушерское дело
1;ЛО-78-01-06923;Акушерское дело
1;ло-78-01-000532;Акушерское дело
1;ло-78-01-000556;Акушерское дело
1;ло-78-01-000620;Акушерское дело
1;ло-78-01-000659;Акушерское дело
1;ло-78-01-000768;Акушерское дело
1;ло-78-01-000780;Акушерское дело
1;ло-78-01-000785;Акушерское дело
1;ло-78-01-000794;Акушерское дело
1;ло-78-01-000812;Акушерское дело
1;ло-78-01-000839;Акушерское дело
1;ло-78-01-000867;Акушерское дело
1;ло-78-01-000868;Акушерское дело
1;ло-78-01-000869;Акушерское дело
1;ло-78-01-000872;Акушерское дело
1;ло-78-01-000936;Акушерское дело
1;ло-78-01-000960;Акушерское дело
1;ло-78-01-000998;Акушерское дело
1;ло-78-01-001016;Акушерское дело
1;ло-78-01-001032;Акушерское дело
1;ло-78-01-001039;Акушерское дело
1;ло-78-01-001098;Акушерское дело
1;ло-78-01-001137;Акушерское дело
1;ло-78-01-001306;Акушерское дело
1;ло-78-01-001361;Акушерское дело
1;ло-78-01-001439;Акушерское дело
1;ло-78-01-001450;Акушерское дело
1;ло-78-01-001531;Акушерское дело
1;ло-78-01-001631;Акушерское дело
1;ло-78-01-001698;Акушерское дело
1;ло-78-01-001734;Акушерское дело
1;ло-78-01-001875;Акушерское дело
1;ло-78-01-001879;Акушерское дело
1;ло-78-01-001888;Акушерское дело
1;ло-78-01-001896;Акушерское дело
1;ло-78-01-001912;Акушерское дело
1;ло-78-01-002031;Акушерское дело
1;ло-78-01-002090;Акушерское дело
1;ло-78-01-00210;Акушерское дело
1;ло-78-01-002166;Акушерское дело
1;ло-78-01-002271;Акушерское дело
1;ло-78-01-002370;Акушерское дело
1;ло-78-01-002401;Акушерское дело
1;ло-78-01-002405;Акушерское дело
1;ло-78-01-002552;Акушерское дело
1;ло-78-01-002562;Акушерское дело
1;ло-78-01-002645;Акушерское дело
1;ло-78-01-002781;Акушерское дело
1;ло-78-01-002794;Акушерское дело
1;ло-78-01-002844;Акушерское дело
1;ло-78-01-002953;Акушерское дело
1;ло-78-01-002961;Акушерское дело
1;ло-78-01-002967;Акушерское дело
1;ло-78-01-003005;Акушерское дело
1;ло-78-01-003019;Акушерское дело
1;ло-78-01-003029;Акушерское дело
1;ло-78-01-003030;Акушерское дело
1;ло-78-01-003035;Акушерское дело
1;ло-78-01-003042;Акушерское дело
1;ло-78-01-003091;Акушерское дело
1;ло-78-01-003101;Акушерское дело
1;ло-78-01-003110;Акушерское дело
1;ло-78-01-003115;Акушерское дело
1;ло-78-01-003130;Акушерское дело
1;ло-78-01-003145;Акушерское дело
1;ло-78-01-003150;Акушерское дело
1;ло-78-01-003186;Акушерское дело
1;ло-78-01-003207;Акушерское дело
1;ло-78-01-003216;Акушерское дело
1;ло-78-01-003223;Акушерское дело
1;ло-78-01-003292;Акушерское дело
1;ло-78-01-003296;Акушерское дело
1;ло-78-01-003303;Акушерское дело
1;ло-78-01-003326;Акушерское дело
1;ло-78-01-003335;Акушерское дело
1;ло-78-01-003349;Акушерское дело
1;ло-78-01-003365;Акушерское дело
1;ло-78-01-003373;Акушерское дело
1;ло-78-01-003433;Акушерское дело
1;ло-78-01-003462;Акушерское дело
1;ло-78-01-003465;Акушерское дело
1;ло-78-01-003487;Акушерское дело
1;ло-78-01-003488;Акушерское дело
1;ло-78-01-003503;Акушерское дело
1;ло-78-01-003510;Акушерское дело
1;ло-78-01-003545;Акушерское дело
1;ло-78-01-003569;Акушерское дело
1;ло-78-01-003572;Акушерское дело
1;ло-78-01-003589;Акушерское дело
1;ло-78-01-003593;Акушерское дело
1;ло-78-01-003605;Акушерское дело
1;ло-78-01-003611;Акушерское дело
1;ло-78-01-003612;Акушерское дело
1;ло-78-01-003619;Акушерское дело
1;ло-78-01-003629;Акушерское дело
1;ло-78-01-003631;Акушерское дело
1;ло-78-01-003632;Акушерское дело
1;ло-78-01-003637;Акушерское дело
1;ло-78-01-003642;Акушерское дело
1;ло-78-01-003648;Акушерское дело
1;ло-78-01-003659;Акушерское дело
1;ло-78-01-003673;Акушерское дело
1;ло-78-01-003674;Акушерское дело
1;ло-78-01-003675;Акушерское дело
1;ло-78-01-003696;Акушерское дело
1;ло-78-01-003698;Акушерское дело
1;ло-78-01-003699;Акушерское дело
1;ло-78-01-003702;Акушерское дело
1;ло-78-01-003704;Акушерское дело
1;ло-78-01-003705;Акушерское дело
1;ло-78-01-003714;Акушерское дело
1;ло-78-01-003715;Акушерское дело
1;ло-78-01-003719;Акушерское дело
1;ло-78-01-003724;Акушерское дело
1;ло-78-01-003725;Акушерское дело
1;ло-78-01-003741;Акушерское дело
1;ло-78-01-003756;Акушерское дело
1;ло-78-01-003759;Акушерское дело
1;ло-78-01-003760;Акушерское дело
1;ло-78-01-003761;Акушерское дело
1;ло-78-01-003789;Акушерское дело
1;ло-78-01-003793;Акушерское дело
1;ло-78-01-003794;Акушерское дело
1;ло-78-01-003801;Акушерское дело
1;ло-78-01-003820;Акушерское дело
1;ло-78-01-003822;Акушерское дело
1;ло-78-01-003843;Акушерское дело
1;ло-78-01-003844;Акушерское дело
1;ло-78-01-003845;Акушерское дело
1;ло-78-01-003850;Акушерское дело
1;ло-78-01-003851;Акушерское дело
1;ло-78-01-003897;Акушерское дело
1;ло-78-01-003907;Акушерское дело
1;ло-78-01-003912;Акушерское дело
1;ло-78-01-003915;Акушерское дело
1;ло-78-01-003919;Акушерское дело
1;ло-78-01-003929;Акушерское дело
1;ло-78-01-003939;Акушерское дело
1;ло-78-01-003955;Акушерское дело
1;ло-78-01-003959;Акушерское дело
1;ло-78-01-003981;Акушерское дело
1;ло-78-01-003985;Акушерское дело
1;ло-78-01-003997;Акушерское дело
1;ло-78-01-004008;Акушерское дело
1;ло-78-01-004010;Акушерское дело
1;ло-78-01-004015;Акушерское дело
1;ло-78-01-004029;Акушерское дело
1;ло-78-01-004041;Акушерское дело
1;ло-78-01-004051;Акушерское дело
1;ло-78-01-004059;Акушерское дело
1;ло-78-01-004060;Акушерское дело
1;ло-78-01-004061;Акушерское дело
1;ло-78-01-004094;Акушерское дело
1;ло-78-01-004099;Акушерское дело
1;ло-78-01-004109;Акушерское дело
1;ло-78-01-004112;Акушерское дело
1;ло-78-01-004138;Акушерское дело
1;ло-78-01-004142;Акушерское дело
1;ло-78-01-004169;Акушерское дело
1;ло-78-01-004179;Акушерское дело
1;ло-78-01-004213;Акушерское дело
1;ло-78-01-004214;Акушерское дело
1;ло-78-01-004219;Акушерское дело
1;ло-78-01-004245;Акушерское дело
1;ло-78-01-004251;Акушерское дело
1;ло-78-01-004268;Акушерское дело
1;ло-78-01-004280;Акушерское дело
2; 78-01-003860;Акушерство и гинекология
2; ЛО-78-01-0038754;Акушерство и гинекология
2;78-01-000009;Акушерство и гинекология
2;78-01-000010;Акушерство и гинекология
2;78-01-003861;Акушерство и гинекология
2;78-01-003861 ;Акушерство и гинекология
2;ЛО-78-01-000030;Акушерство и гинекология
2;ЛО-78-01-000031;Акушерство и гинекология
2;ЛО-78-01-000032;Акушерство и гинекология
2;ЛО-78-01-000039;Акушерство и гинекология
2;ЛО-78-01-000045;Акушерство и гинекология
2;ЛО-78-01-000056;Акушерство и гинекология
2;ЛО-78-01-000072;Акушерство и гинекология
2;ЛО-78-01-000082;Акушерство и гинекология
2;ЛО-78-01-000084;Акушерство и гинекология
